Precision/test macroPrec,Precision/test microPrec,Precision/test weightPrec,Recall/test macroRec,Recall/test microRec,Recall/test weightRec,F1/test macroF1,F1/test microF1,F1/test weightF1,IoU/test MacroIoU,dataset_model,test_loss,train_loss,resolution,backbone,dataset,train_count,val_count,test_count,train_percent,val_percent,test_percent
0.6430527567863464,0.6530886292457581,0.6702982187271118,0.69999760389328,0.6530886292457581,0.6530886292457581,0.6561720967292786,0.6530886292457581,0.6566947102546692,0.5079646706581116,unet_0.002_Image_allyear_merged_256,0.7162994742393494,0.6826599836349487,256,Unet,Image_allyear_merged_256,1806539.0/1704174.0/374952.0/214871.0,406597.0/427725.0/270849.0/81867.0,391008.0/330605.0/579735.0/50356.0,0.44/0.42/0.09/0.05,0.34/0.36/0.23/0.07,0.29/0.24/0.43/0.04
0.5524448156356812,0.5989941358566284,0.6056540608406067,0.5789040923118591,0.5989941358566284,0.5989941358566284,0.5599177479743958,0.5989941358566284,0.5989987850189209,0.39998695254325867,unet_0.002_Image_after_2010_merged_512,0.8671925663948059,0.825470507144928,512,Unet,Image_after_2010_merged_512,1905189.0/1811028.0/220428.0/248171.0,480706.0/498131.0/204321.0/51779.0,452701.0/443461.0/331577.0/95502.0,0.46/0.43/0.05/0.06,0.39/0.4/0.17/0.04,0.34/0.34/0.25/0.07
0.6642676591873169,0.6989086866378784,0.7102247476577759,0.6759901642799377,0.6989086866378784,0.6989086866378784,0.6681218147277832,0.6989086866378784,0.7031200528144836,0.5233006477355957,unet_0.002_Image_after_2010_merged_256,0.6585053205490112,0.6581907272338867,256,Unet,Image_after_2010_merged_256,717437.0/924223.0/379316.0/187145.0,164872.0/225847.0/267960.0/67227.0,184556.0/173911.0/571480.0/49784.0,0.32/0.42/0.17/0.08,0.23/0.31/0.37/0.09,0.19/0.18/0.58/0.05
0.5350999236106873,0.599491536617279,0.6150453686714172,0.5645392537117004,0.599491536617279,0.599491536617279,0.5397699475288391,0.599491536617279,0.60566246509552,0.38341623544692993,unet_0.002_Image_allyear_merged_512,0.9046308398246765,0.833975613117218,512,Unet,Image_allyear_merged_512,4148803.0/3778548.0/224932.0/311225.0,1139986.0/924494.0/180057.0/80018.0,865145.0/885119.0/355535.0/85814.0,0.49/0.45/0.03/0.04,0.49/0.4/0.08/0.03,0.39/0.4/0.16/0.04
0.5365068912506104,0.6980432868003845,0.6965488195419312,0.566808819770813,0.6980432868003845,0.6980432868003845,0.5306978821754456,0.6980432868003845,0.6939401030540466,0.395851731300354,unet_0.002_Image_after_2010_VA_512,0.8154152631759644,0.7315713167190552,512,Unet,Image_after_2010_VA_512,1905189.0/1811028.0/80533.0/248171.0,480706.0/498131.0/33755.0/51779.0,452701.0/443461.0/11546.0/95502.0,0.47/0.45/0.02/0.06,0.45/0.47/0.03/0.05,0.45/0.44/0.01/0.1
0.5673797130584717,0.5889849662780762,0.6210706233978271,0.5713980793952942,0.5889849662780762,0.5889849662780762,0.549881100654602,0.5889849662780762,0.5980316996574402,0.3864482343196869,unet_0.002_Image_after_2010_VA_256,0.9013971090316772,0.6629588007926941,256,Unet,Image_after_2010_VA_256,717437.0/924223.0/95481.0/187145.0,164872.0/225847.0/31131.0/67227.0,184556.0/173911.0/15122.0/49784.0,0.37/0.48/0.05/0.1,0.34/0.46/0.06/0.14,0.44/0.41/0.04/0.12
0.48393598198890686,0.6958735585212708,0.6983484029769897,0.53321373462677,0.6958735585212708,0.6958735585212708,0.5039421319961548,0.6958735585212708,0.6958861351013184,0.38088276982307434,unet_0.002_Image_allyear_VA_512,0.8451769948005676,0.7160521745681763,512,Unet,Image_allyear_VA_512,4148803.0/3778548.0/85037.0/311225.0,1139986.0/924494.0/9491.0/80018.0,865145.0/885119.0/35504.0/85814.0,0.5/0.45/0.01/0.04,0.53/0.43/0.0/0.04,0.46/0.47/0.02/0.05
0.4949953556060791,0.6026305556297302,0.6049741506576538,0.5231906771659851,0.6026305556297302,0.6026305556297302,0.4975601136684418,0.6026305556297302,0.6002948880195618,0.349212110042572,unet_0.002_Image_allyear_VA_256,0.9898979663848877,0.8348942995071411,256,Unet,Image_allyear_VA_256,1806539.0/1704174.0/91117.0/214871.0,406597.0/427725.0/34020.0/81867.0,391008.0/330605.0/23377.0/50356.0,0.47/0.45/0.02/0.06,0.43/0.45/0.04/0.09,0.49/0.42/0.03/0.06
0.5702450275421143,0.6501969695091248,0.6553693413734436,0.5755042433738708,0.6501969695091248,0.6501969695091248,0.5701618790626526,0.6501969695091248,0.6521180868148804,0.4109078645706177,unet_resnet18_0.002_Image_allyear_VA_256,1.1469972133636475,0.8962217569351196,256,resnet18,Image_allyear_VA_256,1806539.0/1704174.0/91117.0/214871.0,406597.0/427725.0/34020.0/81867.0,391008.0/330605.0/23377.0/50356.0,0.47/0.45/0.02/0.06,0.43/0.45/0.04/0.09,0.49/0.42/0.03/0.06
0.5426685214042664,0.7071939706802368,0.7162020206451416,0.5266889333724976,0.7071939706802368,0.7071939706802368,0.5309666991233826,0.7071939706802368,0.7112336158752441,0.4071829915046692,unet_resnet18_0.002_Image_allyear_VA_512,1.0656660795211792,0.8542392253875732,512,resnet18,Image_allyear_VA_512,4148803.0/3778548.0/85037.0/311225.0,1139986.0/924494.0/9491.0/80018.0,865145.0/885119.0/35504.0/85814.0,0.5/0.45/0.01/0.04,0.53/0.43/0.0/0.04,0.46/0.47/0.02/0.05
0.7166776657104492,0.7452149391174316,0.7506160140037537,0.7016528248786926,0.7452149391174316,0.7452149391174316,0.7081650495529175,0.7452149391174316,0.7471092343330383,0.5634665489196777,unet_resnet18_0.002_Image_after_2010_merged_256,1.006019949913025,0.8629018664360046,256,resnet18,Image_after_2010_merged_256,717437.0/924223.0/379316.0/187145.0,164872.0/225847.0/267960.0/67227.0,184556.0/173911.0/571480.0/49784.0,0.32/0.42/0.17/0.08,0.23/0.31/0.37/0.09,0.19/0.18/0.58/0.05
0.6965957880020142,0.6989161372184753,0.7023993730545044,0.7146338820457458,0.6989161372184753,0.6989161372184753,0.7039132714271545,0.6989161372184753,0.6998166441917419,0.5569416880607605,unet_resnet18_0.002_Image_allyear_merged_256,1.04197359085083,0.8878400325775146,256,resnet18,Image_allyear_merged_256,1806539.0/1704174.0/374952.0/214871.0,406597.0/427725.0/270849.0/81867.0,391008.0/330605.0/579735.0/50356.0,0.44/0.42/0.09/0.05,0.34/0.36/0.23/0.07,0.29/0.24/0.43/0.04
0.6165158152580261,0.6342886686325073,0.635431706905365,0.5578680634498596,0.6342886686325073,0.6342886686325073,0.5803616046905518,0.6342886686325073,0.6293522119522095,0.4130588173866272,unet_resnet18_0.002_Image_after_2010_VA_256,1.1714997291564941,0.8060906529426575,256,resnet18,Image_after_2010_VA_256,717437.0/924223.0/95481.0/187145.0,164872.0/225847.0/31131.0/67227.0,184556.0/173911.0/15122.0/49784.0,0.37/0.48/0.05/0.1,0.34/0.46/0.06/0.14,0.44/0.41/0.04/0.12
0.589911162853241,0.7124066948890686,0.7087649703025818,0.585468590259552,0.7124066948890686,0.7124066948890686,0.5856963396072388,0.7124066948890686,0.7101936340332031,0.4412466585636139,unet_resnet18_0.002_Image_after_2010_VA_512,1.1013472080230713,0.7920012474060059,512,resnet18,Image_after_2010_VA_512,1905189.0/1811028.0/80533.0/248171.0,480706.0/498131.0/33755.0/51779.0,452701.0/443461.0/11546.0/95502.0,0.47/0.45/0.02/0.06,0.45/0.47/0.03/0.05,0.45/0.44/0.01/0.1
0.7095198035240173,0.7370843887329102,0.7418597936630249,0.7062551379203796,0.7370843887329102,0.7370843887329102,0.7076770663261414,0.7370843887329102,0.7391915321350098,0.5634065866470337,unet_resnet50_0.002_Image_after_2010_merged_256,1.0015941858291626,0.832928478717804,256,resnet50,Image_after_2010_merged_256,717437.0/924223.0/379316.0/187145.0,164872.0/225847.0/267960.0/67227.0,184556.0/173911.0/571480.0/49784.0,0.32/0.42/0.17/0.08,0.23/0.31/0.37/0.09,0.19/0.18/0.58/0.05
0.7175500988960266,0.7063076496124268,0.7074508666992188,0.7055695652961731,0.7063076496124268,0.7063076496124268,0.711048424243927,0.7063076496124268,0.7064644694328308,0.5660579204559326,unet_resnet50_0.002_Image_allyear_merged_256,1.0435134172439575,0.8557310104370117,256,resnet50,Image_allyear_merged_256,1806539.0/1704174.0/374952.0/214871.0,406597.0/427725.0/270849.0/81867.0,391008.0/330605.0/579735.0/50356.0,0.44/0.42/0.09/0.05,0.34/0.36/0.23/0.07,0.29/0.24/0.43/0.04
0.5796152353286743,0.6223008036613464,0.6259656548500061,0.5798332095146179,0.6223008036613464,0.6223008036613464,0.5778274536132812,0.6223008036613464,0.623237133026123,0.41188526153564453,unet_resnet50_0.002_Image_after_2010_VA_256,1.1492098569869995,0.8173169493675232,256,resnet50,Image_after_2010_VA_256,717437.0/924223.0/95481.0/187145.0,164872.0/225847.0/31131.0/67227.0,184556.0/173911.0/15122.0/49784.0,0.37/0.48/0.05/0.1,0.34/0.46/0.06/0.14,0.44/0.41/0.04/0.12
0.55972820520401,0.6381775140762329,0.6500909328460693,0.5950579643249512,0.6381775140762329,0.6381775140762329,0.5717430114746094,0.6381775140762329,0.6431517004966736,0.41915780305862427,unet_resnet50_0.002_Image_allyear_VA_256,1.1250293254852295,0.8839840292930603,256,resnet50,Image_allyear_VA_256,1806539.0/1704174.0/91117.0/214871.0,406597.0/427725.0/34020.0/81867.0,391008.0/330605.0/23377.0/50356.0,0.47/0.45/0.02/0.06,0.43/0.45/0.04/0.09,0.49/0.42/0.03/0.06
0.7062109708786011,0.7414031624794006,0.7502800226211548,0.7108876705169678,0.7414031624794006,0.7414031624794006,0.7077692151069641,0.7414031624794006,0.7449867129325867,0.5609799027442932,unet_resnet101_0.002_Image_after_2010_merged_256,1.003260850906372,0.8578670620918274,256,resnet101,Image_after_2010_merged_256,717437.0/924223.0/379316.0/187145.0,164872.0/225847.0/267960.0/67227.0,184556.0/173911.0/571480.0/49784.0,0.32/0.42/0.17/0.08,0.23/0.31/0.37/0.09,0.19/0.18/0.58/0.05
0.7053887248039246,0.7197713851928711,0.7184823751449585,0.7072849869728088,0.7197713851928711,0.7197713851928711,0.7062064409255981,0.7197713851928711,0.7189775705337524,0.5600385665893555,unet_resnet101_0.002_Image_allyear_merged_256,1.0426565408706665,0.8996198177337646,256,resnet101,Image_allyear_merged_256,1806539.0/1704174.0/374952.0/214871.0,406597.0/427725.0/270849.0/81867.0,391008.0/330605.0/579735.0/50356.0,0.44/0.42/0.09/0.05,0.34/0.36/0.23/0.07,0.29/0.24/0.43/0.04
0.5667988657951355,0.6187635064125061,0.6274300813674927,0.5621595978736877,0.6187635064125061,0.6187635064125061,0.5617172122001648,0.6187635064125061,0.6217312812805176,0.40258654952049255,unet_resnet101_0.002_Image_after_2010_VA_256,1.165026068687439,0.8368754982948303,256,resnet101,Image_after_2010_VA_256,717437.0/924223.0/95481.0/187145.0,164872.0/225847.0/31131.0/67227.0,184556.0/173911.0/15122.0/49784.0,0.37/0.48/0.05/0.1,0.34/0.46/0.06/0.14,0.44/0.41/0.04/0.12
0.5887919664382935,0.6621353626251221,0.6654370427131653,0.5874921083450317,0.6621353626251221,0.6621353626251221,0.5863036513328552,0.6621353626251221,0.6633522510528564,0.4274273216724396,unet_resnet101_0.002_Image_allyear_VA_256,1.1348586082458496,0.8995515704154968,256,resnet101,Image_allyear_VA_256,1806539.0/1704174.0/91117.0/214871.0,406597.0/427725.0/34020.0/81867.0,391008.0/330605.0/23377.0/50356.0,0.47/0.45/0.02/0.06,0.43/0.45/0.04/0.09,0.49/0.42/0.03/0.06
0.6896084547042847,0.7231224775314331,0.7270598411560059,0.725181519985199,0.7231224775314331,0.7231224775314331,0.7046155333518982,0.7231224775314331,0.7245771884918213,0.5555877685546875,unet_resnet18_0.002_Image_allyear_merged_512,1.0389325618743896,0.9270516037940979,512,resnet18,Image_allyear_merged_512,4148803.0/3778548.0/224932.0/311225.0,1139986.0/924494.0/180057.0/80018.0,865145.0/885119.0/355535.0/85814.0,0.49/0.45/0.03/0.04,0.49/0.4/0.08/0.03,0.39/0.4/0.16/0.04
0.664225161075592,0.6998956203460693,0.7050760984420776,0.6838802695274353,0.6998956203460693,0.6998956203460693,0.6717725396156311,0.6998956203460693,0.7017576098442078,0.5192341208457947,unet_resnet18_0.002_Image_after_2010_merged_512,1.0664606094360352,0.9625176787376404,512,resnet18,Image_after_2010_merged_512,1905189.0/1811028.0/220428.0/248171.0,480706.0/498131.0/204321.0/51779.0,452701.0/443461.0/331577.0/95502.0,0.46/0.43/0.05/0.06,0.39/0.4/0.17/0.04,0.34/0.34/0.25/0.07
