year,directory,name,back1,back2,back3,back4
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_06.2018.zip,s13_43.2018.zip,s13,43,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_07.2018.zip,s13_44.2018.zip,s13,44,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_16.2018.zip,s13_45.2018.zip,s13,45,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_17.2018.zip,s13_46.2018.zip,s13,46,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_18.2018.zip,s13_47.2018.zip,s13,47,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_19.2018.zip,s13_48.2018.zip,s13,48,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_26.2018.zip,s13_49.2018.zip,s13,49,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_27.2018.zip,s13_53.2018.zip,s13,53,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_28.2018.zip,s13_54.2018.zip,s13,54,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_29.2018.zip,s13_55.2018.zip,s13,55,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_36.2018.zip,s13_56.2018.zip,s13,56,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_37.2018.zip,s13_57.2018.zip,s13,57,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n16_38.2018.zip,s13_58.2018.zip,s13,58,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_39.2018.zip,s13_59.2018.zip,s13,59,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_47.2018.zip,s13_63.2018.zip,s13,63,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_48.2018.zip,s13_64.2018.zip,s13,64,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_49.2018.zip,s13_65.2018.zip,s13,65,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_57.2018.zip,s13_66.2018.zip,s13,66,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_58.2018.zip,s13_67.2018.zip,s13,67,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_59.2018.zip,s13_68.2018.zip,s13,68,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_67.2018.zip,s13_69.2018.zip,s13,69,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_68.2018.zip,s13_73.2018.zip,s13,73,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_69.2018.zip,s13_74.2018.zip,s13,74,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_77.2018.zip,s13_75.2018.zip,s13,75,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_78.2018.zip,s13_76.2018.zip,s13,76,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N16_79.2018.zip,s13_78.2018.zip,s13,78,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_30.2018.zip,s13_79.2018.zip,s13,79,2018.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_40.2018.zip,,,,
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_41.2018.zip,,,,
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,n17_50.2018.zip,,,,
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_51.2018.zip,s03_24.2019.zip,s03,24,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_52.2018.zip,s03_33.2019.zip,s03,33,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_60.2018.zip,s03_34.2019.zip,s03,34,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_61.2018.zip,s03_43.2019.zip,s03,43,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/200/,N17_70.2018.zip,s03_44.2019.zip,s03,44,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n16_36.2018.zip,s03_54.2019.zip,s03,54,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n16_37_East.2018.zip,s03_73.2019.zip,s03,73,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n16_37_West.2018.zip,s03_74.2019.zip,s03,74,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n16_38.2018.zip,s03_75.2019.zip,s03,75,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n16_46.2018.zip,s03_84.2019.zip,s03,84,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n16_47.2018.zip,s03_85.2019.zip,s03,85,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/North/050/,n17_50.2018.zip,s03_95.2019.zip,s03,95,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/,PLEASE_READ_VBMP_Imagery_usage.txt,s13_26.2019.zip,s13,26,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/,VBMP_2018_Flight_Dates.gdb.zip,s13_27.2019.zip,s13,27,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/,VBMP_2018_Flight_Dates_Shapefile.zip,s13_36.2019.zip,s13,36,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/,VBMP_2018_Metadata.zip,,,,
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/,VBMP_2018_Tile_Index.gdb.zip,,,,
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/,VBMP_2018_Tile_Index_shapefile.zip,,,,
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_28.2018.zip,s03_04.2019.zip,s03,4,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_48.2018.zip,s03_14.2019.zip,s03,14,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_49_Center.2018.zip,s03_15.2019.zip,s03,15,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_49_East.2018.zip,s03_24.2019.zip,s03,24,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_49_West.2018.zip,s03_25.2019.zip,s03,25,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_58.2018.zip,s03_26.2019.zip,s03,26,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/050/,s13_59.2018.zip,s03_33.2019.zip,s03,33,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/100/,s13_26.2018.zip,s03_34.2019.zip,s03,34,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/100/,s13_46.2018.zip,s03_35.2019.zip,s03,35,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/100/,s13_56.2018.zip,s03_36.2019.zip,s03,36,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_06.2018.zip,s03_43.2019.zip,s03,43,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_15.2018.zip,s03_44.2019.zip,s03,44,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_16.2018.zip,s03_45.2019.zip,s03,45,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_17.2018.zip,s03_46.2019.zip,s03,46,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_18.2018.zip,s03_47.2019.zip,s03,47,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_19.2018.zip,s03_53.2019.zip,s03,53,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_23.2018.zip,s03_54.2019.zip,s03,54,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_24.2018.zip,s03_55.2019.zip,s03,55,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_25.2018.zip,s03_56.2019.zip,s03,56,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_26.2018.zip,s03_63.2019.zip,s03,63,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_27.2018.zip,s03_64.2019.zip,s03,64,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_28.2018.zip,s03_65.2019.zip,s03,65,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_29.2018.zip,s03_66.2019.zip,s03,66,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_33.2018.zip,s03_73.2019.zip,s03,73,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_34.2018.zip,s03_74.2019.zip,s03,74,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_35.2018.zip,s03_75.2019.zip,s03,75,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_36.2018.zip,s03_76.2019.zip,s03,76,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_37.2018.zip,s03_83.2019.zip,s03,83,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_38.2018.zip,s03_84.2019.zip,s03,84,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,S13_39.2018.zip,s03_85.2019.zip,s03,85,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_43.2018.zip,s03_86.2019.zip,s03,86,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_44.2018.zip,s03_87.2019.zip,s03,87,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_45.2018.zip,s03_93.2019.zip,s03,93,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_46.2018.zip,s03_94.2019.zip,s03,94,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_47.2018.zip,s03_95.2019.zip,s03,95,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_48.2018.zip,s03_96.2019.zip,s03,96,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_49.2018.zip,s03_97.2019.zip,s03,97,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_53.2018.zip,s03_98.2019.zip,s03,98,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_54.2018.zip,s13_03.2019.zip,s13_03.2019.zip,3,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_55.2018.zip,S13_04.2019.zip,S13_04.2019.zip,4,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_56.2018.zip,S13_05.2019.zip,S13_05.2019.zip,5,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_57.2018.zip,S13_06.2019.zip,S13_06.2019.zip,6,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_58.2018.zip,S13_07.2019.zip,S13_07.2019.zip,7,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_59.2018.zip,S13_08.2019.zip,S13_08.2019.zip,8,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_63.2018.zip,s13_13.2019.zip,s13,13,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_64.2018.zip,s13_14.2019.zip,s13,14,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_65.2018.zip,s13_15.2019.zip,s13,15,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_66.2018.zip,s13_16.2019.zip,s13,16,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_67.2018.zip,s13_17.2019.zip,s13,17,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_68.2018.zip,s13_18.2019.zip,s13,18,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_69.2018.zip,s13_23.2019.zip,s13,23,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_73.2018.zip,s13_24.2019.zip,s13,24,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_74.2018.zip,s13_25.2019.zip,s13,25,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_75.2018.zip,s13_34.2019.zip,s13,34,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_76.2018.zip,s13_35.2019.zip,s13,35,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_78.2018.zip,s93_94.2019.zip,s93,94,2019.zip
2018,https://gismaps.vdem.virginia.gov/download/mrsid/2018/South/200/,s13_79.2018.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/North/050/,n16_89.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/North/050/,n16_99.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/North/050/,n17_80.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/,PLEASE_READ_VBMP_Imagery_usage.txt,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/,VBMP_2019_Flight_Dates_Shapefiles.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/,VBMP_2019_Metadata.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/,VBMP_2019_Tile_Index_shapefiles.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/050/,s03_54.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/050/,s03_64.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_24.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_33.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_34.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_43.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_44.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_54.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_73.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_74.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_75.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_84.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_85.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s03_95.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s13_26.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s13_27.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/100/,s13_36.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_04.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_14.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_15.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_24.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_25.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_26.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_33.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_34.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_35.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_36.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_43.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_44.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_45.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_46.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_47.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_53.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_54.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_55.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_56.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_63.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_64.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_65.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_66.2019.zip,,,,
2019,https://gismaps.vdem.virginia.gov/download/mrsid/2019/South/200/,s03_73.2019.zip,,,,
